"","assay","sample_name","avg","n_metab","n_metab_identified","median","sd","iqr","min_peak_height","max_peak_height","alpha_diver","norm_test_shapiro_pval","log_norm_test_shapiro_pval","percent_identified","avg_log2"
"1","BiogenicAmines","BSD2205A",21478.2527214949,4168,469,1827.5,168556.516114329,11787.75,0.25,5506532.57142857,5.88556481649756,1.26540142644551e-92,2.06023305230204e-20,11.2523992322457,14.3905890128837
"2","BiogenicAmines","BSD2205B",17982.2892758312,4129,462,1259.21428571429,168846.597259855,8282.60714285715,0.0800000000000001,5900321.25,5.60328932915567,4.29846636710043e-93,5.56735780226007e-22,11.1891499152337,14.1342890776348
"3","BiogenicAmines","BSD2205C",16990.4113633628,4317,470,1682.85714285714,199212.101566434,7857.5,0.130434782608695,9937914.96428571,5.61430747342001,1.22538803069189e-93,1.65909682079704e-18,10.8871901783646,14.052433162307
"4","BiogenicAmines","BSD2205D",46123.6665101887,4446,478,2058.85714285714,393860.369972788,8692.53571428571,0.178571428571431,16302041.9642857,5.45593758593936,1.22131938353073e-92,4.23267740671289e-23,10.7512370670265,15.4932195813036
"5","BiogenicAmines","BSD2780E",10984.960728291,3972,460,1007.82142857143,240989.862515193,6204.07142857143,0.142857142857142,15944783,4.89086590912446,2.82604806944022e-94,2.1518582081161e-26,11.5810674723061,13.4232420916228
"6","BiogenicAmines","BSD3178A",12399.4975471788,4158,461,1381.60714285714,105027.624091741,8160.57142857143,0.428571428571429,4149435.57142857,6.02246363798043,5.37545524168182e-93,7.05899044974908e-19,11.0870610870611,13.5979940404132
"7","BiogenicAmines","BSD3178B",16749.5431280933,4381,490,2059.46428571429,235950.416656208,7383.25,0.0999999999999996,14320288.8571429,5.62773004591736,6.07047050181625e-94,1.62903619537269e-15,11.1846610362931,14.0318341237274
"8","BiogenicAmines","BSD3178C",6878.32540776226,3976,446,1395.39285714286,38175.6483518864,6457.71826490512,0.714285714285715,1289405.78571429,6.62659518205194,1.01658875601293e-91,2.7046815475114e-24,11.2173038229376,12.7478416548245
"9","BiogenicAmines","BSD3205A",16708.2954215291,4222,470,1836.5,108650.626110397,8063.67857142858,0.142857142857142,4489741.57142857,6.13097362780886,6.255234200716e-92,2.64019665606218e-18,11.1321648507816,14.0282769368656
"10","BiogenicAmines","BSD3205B",11512.7942652548,3931,461,1406.89285714286,67147.9097654306,11067.3299795405,0.107142857142861,2857601.57142857,6.37143549419917,1.25314705796866e-91,1.33437336239328e-24,11.7272958534724,13.4909504114012
